1999,5,Titans,Bulldogs,Eels,Panthers,Dragons,Rabbitohs,Warriors,Raiders,Knights,SeaEagles,Sharks,Cowboys,Broncos,Storm,Roosters,Tigers
3.00,4.00,1.50,20.70,2.60,4.00
6.00,9.00,2.50,20.90,1.60,9.00
10.00,14.00,2.00,19.10,1.90,14.00
13.00,5.00,1.10,30.50,5.90,13.00
0.00,1.00,1.80,20.00,2.00,1.00
15.00,11.00,2.50,20.10,1.60,11.00
7.00,8.00,1.10,28.40,5.70,7.00
12.00,2.00,1.30,23.50,4.00,2.00
1.00,9.00,4.30,25.40,1.20,1.00
7.00,3.00,1.50,19.50,2.70,3.00
11.00,10.00,2.20,19.80,1.70,10.00
14.00,15.00,1.20,27.90,4.90,14.00
8.00,13.00,3.90,23.90,1.30,13.00
12.00,4.00,1.20,26.40,4.20,12.00
5.00,6.00,1.40,23.40,3.20,5.00
2.00,0.00,1.20,27.50,5.10,2.00
15.00,9.00,2.90,22.50,1.40,15.00
6.00,7.00,3.50,23.30,1.30,7.00
3.00,11.00,1.50,19.90,2.70,3.00
13.00,14.00,1.40,20.70,3.20,13.00
4.00,0.00,1.30,21.30,3.30,4.00
12.00,10.00,1.50,20.50,2.60,12.00
2.00,8.00,1.20,28.20,4.70,8.00
5.00,1.00,1.60,20.40,2.40,5.00
3.00,15.00,1.40,23.20,3.10,3.00
9.00,14.00,2.00,18.40,1.80,9.00
10.00,7.00,1.60,19.00,2.40,7.00
0.00,12.00,3.10,23.40,1.40,12.00
8.00,6.00,1.90,18.50,1.90,8.00
11.00,13.00,2.60,20.00,1.50,13.00
4.00,5.00,1.50,22.20,2.80,5.00
1.00,2.00,2.80,19.50,1.50,2.00
0.00,15.00,1.40,23.50,3.10,15.00
13.00,9.00,1.50,22.00,2.80,13.00
14.00,11.00,1.70,19.90,2.30,14.00
5.00,7.00,1.90,18.70,2.00,7.00
8.00,4.00,4.10,23.10,1.20,8.00
2.00,12.00,2.80,19.80,1.50,2.00
6.00,10.00,2.40,19.40,1.60,10.00
3.00,1.00,1.50,19.50,2.80,3.00
15.00,2.00,3.40,22.30,1.30,2.00
4.00,9.00,2.10,19.20,1.80,4.00
11.00,6.00,1.30,21.50,3.80,11.00
7.00,13.00,2.80,21.40,1.50,13.00
3.00,0.00,1.50,20.20,2.60,3.00
10.00,5.00,1.30,21.60,3.40,10.00
14.00,8.00,1.20,26.80,4.90,14.00
12.00,1.00,1.30,22.30,3.60,12.00
5.00,11.00,2.50,20.20,1.60,11.00
9.00,15.00,1.20,28.30,5.00,9.00
